0,日期,类别,内容,时间
1,2021年4月18日22时10分,学习,写代码,30分钟
2,2021年4月18日22时40分钟,游戏,打联盟,1小时
3,2021年4月18日23时40分,其他,擦药,10分钟
4,2021年4月18日24时00分,其他,睡觉,6小时30分钟
5,2021年4月19日7时00分,运动,早操,30分钟
6,2021年4月19日11时40分,其他,吃饭,20分钟
7,2021年4月19日14时00分,学习,上课,1小时40分钟
8,2021年4月20日14时00分,运动,体育课,10分钟
